	b1Bleach1	b1Bleach2	b1Bleach3	b1Filtrate1	b1Filtrate2	b1Filtrate3	b1Retentate1	b1Retentate2	b1Retentate3
75fbbb41d2fe2c14a19232892183c426	0	19	19	0	0	0	0	0	0
beb30f30d41aacfbb00c7d544efc19f9	0	14	23	0	0	0	0	0	0
ad98307988997f6cd3ef4f41e379a99c	0	0	10	0	0	0	16	0	16
23c65be9381ebd1660fd3dca2c6985f6	0	0	0	0	0	0	0	0	167
9285995242128a7e39e7f80718cb9a83	0	27	9	2	0	0	0	0	0
df14e6aa1053d76aa94f047abf7ac128	0	0	0	0	4	0	0	0	42
fa4b447f42264074c3514e70f0dfe214	0	0	0	0	0	6	0	0	0
b6a7348c601745ee20d78d31ff026726	0	0	0	0	0	0	416	291	280
b1d54ccb4f349b1ecab70a9f2223cc2c	0	0	0	0	0	0	0	8	0
db1e1b4b423bdcfd6a3af554b003734e	24	0	0	0	0	0	0	0	0
c0a81085e84922904f4f252de24a4eb9	0	16	0	0	0	0	0	0	0
fa9b338411758b014e3eb5b1bd1848a9	26	0	0	0	0	0	0	0	0
e6adc86b0ce6d014fd258412ef2eae77	0	18	0	0	0	0	5	0	0
44adc250d9521659604c6924d6076467	0	0	0	0	0	0	0	0	11
87c6f65b32837af7e2c66efdc0ab2e7b	0	0	0	0	0	0	4	0	0
f03c2b674cf1f32a5df83bc9bad17797	0	0	0	0	0	0	0	0	12
1dad9c2d7e2829d7b4261b1b0e580cae	0	14	0	0	0	0	0	0	0
7d77b7975c0fdeaaee9e12c9dc888c7f	0	0	10	0	0	0	0	0	0
431b0f290e6ad1620020a2febed719e4	0	0	19	0	0	0	0	0	0
27f1032e4708b3640f7ba1577d504176	0	7	0	0	0	0	0	0	0
34073696f38ddd18e5c7c8318b4315bb	0	0	0	0	4	0	8	14	7
528ce41b79765564add2c3331f7189c2	0	22	0	147	0	0	0	0	0
14b91f43dd520f279fe597d8fca7656a	0	0	0	0	4	0	0	0	34
6ba64980d5b7d1e1ab146d04ec1764d9	0	0	17	0	0	0	0	0	0
051e6f002c01b9a4a91ea9a26ed3bdd5	121	227	20	0	27	0	0	27	38
ae8a6381f4e78d50e3fad0e2faad8ea0	78	43	117	0	13	9	0	15	9
04fd4bd5e271052cbc3452564c7fbc76	0	0	37	0	0	0	0	21	18
c49998db51753ec610d8ec4e95efe914	0	0	0	0	0	0	0	0	8
f5b043bebb60f302bdf46ef2216a9a5d	0	0	0	0	601	61	5615	6715	5913
8724f5e451731739ad47d0d00a32f216	0	0	0	136	0	0	0	0	0
14a6071fc47ec11478266bc86e119c0b	0	0	18	0	0	0	0	0	0
5767d3b7b70e45731f7a7a51bde36dcc	0	0	0	0	190	0	0	0	0
9f49f28ccf18f75c59c871609e4cf1dc	0	0	0	241	5184	1460	157	266	621
6b6fa023d539a581408b32664dbced0f	9	0	0	0	0	0	0	0	0
7c7f22b7a90914e7f2bc9be39100fd1d	0	0	31	0	0	0	0	0	0
35b8a25c59657a103c7db000a37ce14c	0	9	0	0	0	0	0	0	0
b14ddcbf34bd4d9d6459576f829b20b2	31	0	0	0	0	0	0	0	0
acbb322f7e3b482f12ec7f75bff567c6	0	0	0	0	0	0	0	0	33
8b82d05d7b9fd6f03772137c5e0854df	0	0	15	0	0	0	0	0	0
7332af286eb20a1110f3b1ec39cce1d0	0	16	0	0	0	0	0	0	0
dd5a59afc2cff7f8e78604872e07bcab	0	0	0	0	0	0	4	0	9
996bf382bc0edb720821e46deb8db1a1	0	140	69	0	0	0	0	0	14
a799b6347eed328bc2413d8df13381a5	123	117	288	0	0	0	17	12	22
f5b312cdd8857d4ca022de5cf3c39cce	0	0	0	0	190	28	71	87	140
4dfb9be11f244c8b6554fd514fea6b20	0	0	0	0	0	0	0	0	7
935f8c963287c15b565ff9211326e59a	0	0	0	0	0	0	2	0	0
4af1be2916c45a28616409e12afe0c00	0	0	0	0	12	0	13	0	77
3212476c28e91858b27ad05c4ca4d1b8	0	0	27	0	0	0	0	0	565
1e08896cc0236fcda5a2cc606ea7d717	0	0	0	0	23	6	648	565	129
e9a4e9a7a90d08955ef4b73d20459590	0	0	15	0	0	0	0	0	0
b795f2a86a9995ec9228faeab179c415	141	48	308	0	0	0	0	29	17
ab16548aa6887db45c3b0c3c970c88ba	241	36	17	0	0	0	36	21	23
72b534e7f9aee17f9ef904f3abfd8e46	0	0	0	0	10	0	0	0	0
